Formal Concepts: 11 Atributos: 4 Objetos: 7
<{}, {animal,aquático,planta,terrestre}>
<{coelho,tucano}, {animal,terrestre}>
<{coelho,tucano,oliveira,samambaia,cana}, {terrestre}>
<{coelho,tucano,peixe-boi}, {animal}>
<{oliveira,samambaia,cana}, {planta,terrestre}>
<{oliveira,samambaia,vitória-régia,cana}, {planta}>
<{peixe-boi}, {animal,aquático}>
<{peixe-boi,vitória-régia,cana}, {aquático}>
<{vitória-régia,cana}, {aquático,planta}>
<{cana}, {aquático,planta,terrestre}>
<{coelho,tucano,oliveira,samambaia,peixe-boi,vitória-régia,cana}, {}>
